"Date.Time","predict","cars"
"1","2016-04-17 00:04:00",0.327963916698373,2
"2","2016-04-17 00:09:00",0.327963916698373,2
"3","2016-04-17 00:14:00",0.327963916698373,2
"4","2016-04-17 00:19:00",0.327963916698373,2
"5","2016-04-17 00:24:00",0.327963916698373,2
"6","2016-04-17 00:29:00",0.327963916698373,2
"7","2016-04-17 00:34:00",16.0211395883044,2
"8","2016-04-17 00:39:00",16.0211395883044,2
"9","2016-04-17 00:44:00",16.0211395883044,2
"10","2016-04-17 00:49:00",16.0211395883044,1
"11","2016-04-17 00:54:00",16.0211395883044,1
"12","2016-04-17 00:59:00",16.0211395883044,1
"13","2016-04-17 01:04:00",16.6174233436543,1
"14","2016-04-17 01:09:00",16.6174233436543,1
"15","2016-04-17 01:14:00",16.6174233436543,1
"16","2016-04-17 01:19:00",16.6174233436543,1
"17","2016-04-17 01:24:00",16.6174233436543,1
"18","2016-04-17 01:29:00",16.6174233436543,1
"19","2016-04-17 01:34:00",12.2644912110511,1
"20","2016-04-17 01:39:00",12.2644912110511,1
"21","2016-04-17 01:44:00",12.2644912110511,1
"22","2016-04-17 01:49:00",12.2644912110511,1
"23","2016-04-17 01:54:00",12.2644912110511,0
"24","2016-04-17 01:59:00",12.2644912110511,0
"25","2016-04-17 02:04:00",12.2011993878896,0
"26","2016-04-17 02:09:00",12.2011993878896,0
"27","2016-04-17 02:14:00",12.2011993878896,0
"28","2016-04-17 02:19:00",12.2011993878896,0
"29","2016-04-17 02:24:00",12.2011993878896,0
"30","2016-04-17 02:29:00",12.2011993878896,0
"31","2016-04-17 02:34:00",12.2011993878896,0
"32","2016-04-17 02:39:00",12.2011993878896,0
"33","2016-04-17 02:44:00",12.2011993878896,0
"34","2016-04-17 02:49:00",12.2011993878896,0
"35","2016-04-17 02:54:00",12.2011993878896,0
"36","2016-04-17 02:59:00",12.2011993878896,0
"37","2016-04-17 03:04:00",12.2434210959933,0
"38","2016-04-17 03:09:00",12.2434210959933,0
"39","2016-04-17 03:14:00",12.2434210959933,0
